category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime,total_year_profit
Cereals and bakery products,Bakery products,2020-03-01,115310,2024/08/13 09:31:54,1225212
Cereals and bakery products,Bakery products,2020-07-01,103565,2024/08/13 09:31:54,1225212
Cereals and bakery products,Bakery products,2020-05-01,103401,2024/08/13 09:31:54,1225212
Cereals and bakery products,Bakery products,2019-08-01,94688,2024/08/13 09:31:54,1118841
Cereals and bakery products,Bakery products,2019-07-01,94461,2024/08/13 09:31:54,1118841
Cereals and bakery products,Bakery products,2019-10-01,93915,2024/08/13 09:31:54,1118841
Cereals and bakery products,Bakery products,2018-11-01,92929,2024/08/13 09:31:54,1099840
Cereals and bakery products,Bakery products,2018-10-01,92710,2024/08/13 09:31:54,1099840
Cereals and bakery products,Bakery products,2018-08-01,92557,2024/08/13 09:31:54,1099840
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2020-03-01,99628,2024/08/13 09:31:54,1077171
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2020-11-01,91576,2024/08/13 09:31:54,1077171
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2020-10-01,91447,2024/08/13 09:31:54,1077171
Cereals and bakery products,Bakery products,2017-12-01,91171,2024/08/13 09:31:54,1054086
Cereals and bakery products,Bakery products,2017-11-01,89556,2024/08/13 09:31:54,1054086
Cereals and bakery products,Bakery products,2017-10-01,88817,2024/08/13 09:31:54,1054086
Cereals and bakery products,Bakery products,2016-12-01,86722,2024/08/13 09:31:54,1030415
Cereals and bakery products,Bakery products,2016-11-01,86496,2024/08/13 09:31:54,1030415
Cereals and bakery products,Bakery products,2016-10-01,86375,2024/08/13 09:31:54,1030415
Cereals and bakery products,Bakery products,2015-12-01,85548,2024/08/13 09:31:54,1013914
Cereals and bakery products,Bakery products,2015-09-01,85099,2024/08/13 09:31:54,1013914
Cereals and bakery products,Bakery products,2015-11-01,84787,2024/08/13 09:31:54,1013914
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2019-08-01,84613,2024/08/13 09:31:54,998841
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2019-07-01,84242,2024/08/13 09:31:54,998841
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2019-10-01,84201,2024/08/13 09:31:54,998841
Cereals and bakery products,Bakery products,2014-12-01,85170,2024/08/13 09:31:54,993652
Cereals and bakery products,Bakery products,2014-11-01,84155,2024/08/13 09:31:54,993652
Cereals and bakery products,Bakery products,2014-10-01,83791,2024/08/13 09:31:54,993652
Cereals and bakery products,Bakery products,2013-12-01,81983,2024/08/13 09:31:54,971443
Cereals and bakery products,Bakery products,2013-02-01,81384,2024/08/13 09:31:54,971443
Cereals and bakery products,Bakery products,2013-03-01,81299,2024/08/13 09:31:54,971443
Cereals and bakery products,Bakery products,2012-07-01,80962,2024/08/13 09:31:54,966783
