category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Alcoholic beverages,Beer,2020-03-01,82503.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2020-08-01,78675.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2020-09-01,78580.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2019-08-01,67590.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2019-11-01,67437.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2019-07-01,67434.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2018-11-01,65969.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2018-10-01,65533.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2018-09-01,65301.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2017-12-01,63925.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2017-11-01,63654.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2017-10-01,63504.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2016-11-01,61175.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2016-09-01,61071.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2016-10-01,60986.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2015-12-01,58997.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2015-11-01,58511.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2015-09-01,58449.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2014-12-01,56845.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2014-10-01,56636.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2014-11-01,56462.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2013-12-01,54457.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2013-11-01,54095.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2013-09-01,53769.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2012-05-01,53943.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2012-06-01,53810.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2012-04-01,53761.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2020-03-01,56343.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2020-08-01,54416.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2020-09-01,54261.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2011-11-01,52696.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,2011-10-01,52471.0,2024-08-13 09:31:54
