category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Cereals and bakery products,Bakery products,2020-03-01,115310.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2020-07-01,103565.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2020-05-01,103401.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2019-08-01,94688.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2019-07-01,94461.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2019-10-01,93915.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2018-11-01,92929.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2018-10-01,92710.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2018-08-01,92557.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2017-12-01,91171.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2017-11-01,89556.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2017-10-01,88817.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2016-12-01,86722.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2016-11-01,86496.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2016-10-01,86375.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2015-12-01,85548.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2015-09-01,85099.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2015-11-01,84787.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2014-12-01,85170.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2014-11-01,84155.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2014-10-01,83791.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2013-12-01,81983.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2013-02-01,81384.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2013-03-01,81299.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2012-07-01,80962.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,2012-10-01,80840.0,2024-08-13 09:31:54
