category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Meats and poultry,Poultry,2020-03-01,72103.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2020-05-01,64954.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2020-07-01,64381.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2019-07-01,58633.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2019-08-01,58607.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2019-11-01,58469.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2018-11-01,56963.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2018-10-01,56596.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2018-08-01,56430.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2017-12-01,56009.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2017-11-01,55313.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2017-10-01,55137.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2020-03-01,60917.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2020-05-01,54877.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2020-07-01,54393.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2015-02-01,53853.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2015-01-01,53733.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2015-04-01,53532.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2016-12-01,53320.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2016-02-01,53237.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2016-10-01,53192.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2014-12-01,53580.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2014-11-01,53526.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2014-10-01,53461.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2013-12-01,50943.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2013-11-01,50415.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2013-10-01,50387.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2019-07-01,49537.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2019-08-01,49515.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2019-11-01,49399.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2012-12-01,48302.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2012-11-01,48220.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2012-10-01,48131.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2018-11-01,48126.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2018-10-01,47816.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2018-08-01,47676.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2011-10-01,47169.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2011-11-01,47018.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2011-12-01,46920.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2017-12-01,47320.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2017-11-01,46732.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2017-10-01,46583.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2015-02-01,45503.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2015-01-01,45404.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2015-04-01,45229.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2016-12-01,45049.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2016-02-01,44977.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2016-10-01,44941.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2014-12-01,45277.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2014-11-01,45233.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2014-10-01,45178.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2010-12-01,44690.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2010-11-01,44556.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2010-02-01,44138.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2009-01-01,44051.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2009-05-01,43694.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2009-12-01,43687.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2008-11-01,43715.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2008-10-01,43696.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2008-12-01,43592.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2013-12-01,43009.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2013-11-01,42558.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2013-10-01,42533.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2007-12-01,42124.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2007-11-01,41783.0,2024-08-13 09:31:54
Meats and poultry,Poultry,2007-10-01,41376.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2012-12-01,40922.0,2024-08-13 09:31:54
Meats and poultry,Beef and veal,2012-11-01,40847.0,2024-08-13 09:31:54
